ChargePeriodStart,ChargePeriodEnd,BillingCurrency,EffectiveCost,BilledCost,ChargeCategory,ChargeDescription,ServiceName,ServiceCategory,RegionId,SubAccountId,ResourceId,ResourceType,SkuId,PricingQuantity,PricingUnit
2024-09-01T00:00:00.000Z,2024-09-01T01:00:00.000Z,USD,5.66,5.66,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,14150000,Requests
2024-09-01T01:00:00.000Z,2024-09-01T02:00:00.000Z,USD,6.63,6.63,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,16575000,Requests
2024-09-01T02:00:00.000Z,2024-09-01T03:00:00.000Z,USD,6.15,6.15,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,15375000,Requests
2024-09-01T03:00:00.000Z,2024-09-01T04:00:00.000Z,USD,10.29,10.29,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,25725000,Requests
2024-09-01T04:00:00.000Z,2024-09-01T05:00:00.000Z,USD,7.58,7.58,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,18950000,Requests
2024-09-01T05:00:00.000Z,2024-09-01T06:00:00.000Z,USD,9.94,9.94,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,24850000,Requests
2024-09-01T06:00:00.000Z,2024-09-01T07:00:00.000Z,USD,4.68,4.68,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,11700000,Requests
2024-09-01T07:00:00.000Z,2024-09-01T08:00:00.000Z,USD,9.16,9.16,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,22900000,Requests
2024-09-01T08:00:00.000Z,2024-09-01T09:00:00.000Z,USD,13.2,13.2,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,33000000,Requests
2024-09-01T09:00:00.000Z,2024-09-01T10:00:00.000Z,USD,13.22,13.22,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,33050000,Requests
2024-09-01T10:00:00.000Z,2024-09-01T11:00:00.000Z,USD,9.98,9.98,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,24950000,Requests
2024-09-01T11:00:00.000Z,2024-09-01T12:00:00.000Z,USD,10.91,10.91,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,27275000,Requests
2024-09-01T12:00:00.000Z,2024-09-01T13:00:00.000Z,USD,5.41,5.41,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,13525000,Requests
2024-09-01T13:00:00.000Z,2024-09-01T14:00:00.000Z,USD,11.24,11.24,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,28100000,Requests
2024-09-01T14:00:00.000Z,2024-09-01T15:00:00.000Z,USD,6.28,6.28,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,15700000,Requests
2024-09-01T15:00:00.000Z,2024-09-01T16:00:00.000Z,USD,4.89,4.89,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,12225000,Requests
2024-09-01T16:00:00.000Z,2024-09-01T17:00:00.000Z,USD,6.88,6.88,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,17200000,Requests
2024-09-01T17:00:00.000Z,2024-09-01T18:00:00.000Z,USD,10.6,10.6,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,26500000,Requests
2024-09-01T18:00:00.000Z,2024-09-01T19:00:00.000Z,USD,7.92,7.92,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,19800000,Requests
2024-09-01T19:00:00.000Z,2024-09-01T20:00:00.000Z,USD,9.09,9.09,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,22725000,Requests
2024-09-01T20:00:00.000Z,2024-09-01T21:00:00.000Z,USD,6.51,6.51,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,16275000,Requests
2024-09-01T21:00:00.000Z,2024-09-01T22:00:00.000Z,USD,12.24,12.24,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,30600000,Requests
2024-09-01T22:00:00.000Z,2024-09-01T23:00:00.000Z,USD,5.45,5.45,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,13625000,Requests
