date,symbol,side,qty,entry,exit,pnl,exitDate,notes
2026-05-04T09:51:00+05:30,BANKNIFTY24JUL52000CE,short,2,273.35,251.03,-1116,2026-05-04T10:28:00+05:30,
2026-05-04T10:41:00+05:30,BANKNIFTY24JUL52000PE,long,3,246.03,223.86,-1663,2026-05-04T11:33:00+05:30,chasing the loss
2026-05-04T11:37:00+05:30,NIFTY24JUL24500CE,long,3,294.3,310.21,1193,2026-05-04T11:59:00+05:30,chasing the loss
2026-05-04T12:17:00+05:30,BANKNIFTY24JUL52000CE,short,3,162.97,140.7,-1670,2026-05-04T13:57:00+05:30,chasing the loss
2026-05-04T14:10:00+05:30,BANKNIFTY24JUL51500PE,short,4,146.54,158.19,1165,2026-05-04T14:23:00+05:30,revenge re-entry
2026-05-05T09:41:00+05:30,NIFTY24JUL24500PE,short,2,143.74,156.66,646,2026-05-05T10:03:00+05:30,
2026-05-05T10:23:00+05:30,BANKNIFTY24JUL51500PE,short,2,154.65,168.21,678,2026-05-05T10:38:00+05:30,
2026-05-06T09:25:00+05:30,BANKNIFTY24JUL51500PE,short,2,253.09,240.57,-626,2026-05-06T10:01:00+05:30,
2026-05-06T10:19:00+05:30,NIFTY24JUL24500PE,long,3,121.19,104.8,-1229,2026-05-06T11:46:00+05:30,chasing the loss
2026-05-07T09:42:00+05:30,BANKNIFTY24JUL52000CE,long,2,197.35,215.33,899,2026-05-07T09:54:00+05:30,
2026-05-07T10:06:00+05:30,BANKNIFTY24JUL51500PE,short,2,263.79,248.09,-785,2026-05-07T11:46:00+05:30,held too long
2026-05-08T09:34:00+05:30,NIFTY24JUL24500PE,short,2,123.58,137.88,715,2026-05-08T09:48:00+05:30,
2026-05-08T10:03:00+05:30,NIFTY24JUL24500CE,long,2,237.99,252.67,734,2026-05-08T10:28:00+05:30,
2026-05-08T10:32:00+05:30,NIFTY24JUL24700CE,short,2,244.61,231.85,-638,2026-05-08T11:37:00+05:30,
2026-05-11T09:38:00+05:30,BANKNIFTY24JUL52000PE,short,2,142.6,121.78,-1041,2026-05-11T10:53:00+05:30,
2026-05-12T09:21:00+05:30,NIFTY24JUL24700CE,long,2,290.55,304.89,717,2026-05-12T09:32:00+05:30,booked quick
